Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/portfolio (trade cycle),24,0,9,11.052312499487016,7.300099998246878,29.523799996240996,512.5833333333334,0.2707102297290495,0.0,10,10,13,13,15,16,30,30,30,30,30
POST,POST /api/v1/auth/signup (setup),5,0,480,453.7566800005152,251.51370000094175,532.9704000032507,206.0,0.056397964526885315,0.0,480,520,520,530,530,530,530,530,530,530,530
POST,POST /api/v1/orders (buy),81,0,27,34.5494617283327,17.735800000082236,165.02419999596896,174.0,0.9136470253355422,0.0,27,31,36,39,59,70,120,170,170,170,170
POST,POST /api/v1/positions/close,37,0,29,31.70731891893681,20.99590000580065,72.96920000226237,228.21621621621622,0.41734493749895135,0.0,29,30,34,37,49,72,73,73,73,73,73
,Aggregated,147,0,26,44.25657210874745,7.300099998246878,532.9704000032507,244.01360544217687,1.6581001570904284,0.0,26,30,34,38,59,92,480,520,530,530,530
