Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/portfolio (trade cycle),24,0,9,9.658470833452762,7.294400000319001,20.56339999944612,512.375,0.27051011129710406,0.0,9,9,9,9,12,17,21,21,21,21,21
POST,POST /api/v1/auth/signup (setup),5,0,450,409.5749200001592,225.79560000122,477.19560000041383,206.0,0.056356273186896684,0.0,450,460,460,480,480,480,480,480,480,480,480
POST,POST /api/v1/orders (buy),81,0,16,16.967225925844016,14.742100000148639,38.69879999911063,174.0,0.9129716256277263,0.0,16,16,17,17,17,26,27,39,39,39,39
POST,POST /api/v1/positions/close,41,0,19,19.985729268272536,17.767100000128266,28.684799999609822,228.1219512195122,0.4621214401325528,0.0,19,20,20,20,22,24,29,29,29,29,29
,Aggregated,151,0,16,29.625417880769547,7.294400000319001,477.19560000041383,243.53642384105962,1.7019594502442799,0.0,16,18,19,19,22,27,440,460,480,480,480
