Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/markets,307,0,5,8.694631921829751,2.5238000000626926,109.7896999999648,13158.0,5.200236094877232,0.0,5,6,7,8,12,31,61,81,110,110,110
GET,GET /health,125,0,4,6.650192800008881,2.2349999999278225,66.47369999996044,200.0,2.1173599734842146,0.0,4,5,6,6,8,11,43,45,66,66,66
,Aggregated,432,0,5,8.10306967593251,2.2349999999278225,109.7896999999648,9408.578703703704,7.317596068361446,0.0,5,6,7,7,10,31,60,80,110,110,110
