Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/feed,56,0,11,12.62101964273045,8.5384999983944,34.853600001952145,2260.0,0.4696794032122108,0.0,11,13,13,13,22,24,27,35,35,35,35
GET,GET /api/v1/leaderboard,67,0,5,6.61927910409555,2.351800001633819,41.48490000079619,82.28358208955224,0.5619378574146093,0.0,5,6,6,7,12,16,28,41,41,41,41
GET,GET /api/v1/markets,113,0,5,8.569347787613927,3.042500000447035,82.40810000279453,13158.0,0.9477459386246396,0.0,5,7,8,9,14,27,57,74,82,82,82
GET,GET /api/v1/markets/{slug},53,0,7,9.452916981316312,5.2683000030810945,54.61279999872204,538.0,0.4445180066115566,0.0,7,8,9,10,11,27,47,55,55,55,55
GET,GET /api/v1/markets/{slug}/candles,86,0,6,23.4059488374082,3.8655999960610643,1190.5534000034095,6397.046511627907,0.7212933692187523,0.0,6,6,7,8,18,69,71,1200,1200,1200,1200
GET,GET /api/v1/markets/{slug}/detail,88,0,4,9.521188636261451,2.3010999939288013,117.95310000161408,532.125,0.7380676336191884,0.0,4,5,7,10,21,34,71,120,120,120,120
GET,GET /api/v1/markets?sort=active,111,0,5,20.853797297309644,2.43390000105137,1198.5067999994499,9545.0,0.9309716742242035,0.0,5,7,10,12,19,34,84,100,1200,1200,1200
GET,GET /api/v1/portfolio (authed),55,0,7,9.343085454549344,5.639299997710623,58.67969999962952,251.0,0.4612922710119927,0.0,7,8,9,9,12,18,29,59,59,59,59
GET,GET /api/v1/portfolio/summary (authed),30,0,8,19.04722999873532,5.768100003479049,151.94630000041798,107.0,0.2516139660065415,0.0,8,8,9,10,96,98,150,150,150,150,150
GET,GET /api/v1/signals,51,0,7,33.46231176492795,4.940099999657832,1116.5510999999242,1957.0,0.42774374221112055,0.0,7,8,9,12,24,56,97,1100,1100,1100,1100
GET,GET /api/v1/signals/feed,62,0,5,6.164158064841045,2.5228999948012643,39.794600001187064,1956.2903225806451,0.5200021964135191,0.0,5,6,7,8,9,14,21,40,40,40,40
POST,POST /api/v1/auth/signup (setup),15,0,2300,2248.226759999428,1151.4630000019679,3790.2481999990414,206.0,0.12580698300327076,0.0,2300,2700,2900,3600,3600,3800,3800,3800,3800,3800,3800
,Aggregated,787,0,6,56.775859085097956,2.3010999939288013,3790.2481999990414,4504.58831003812,6.600673041571605,0.0,6,8,9,11,19,48,1200,2300,3800,3800,3800
