Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784158872,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784158873,10,,Aggregated,0.000000,0.000000,79,80,82,84,200,200,200,200,200,200,200,10,0,79,76.04832999932114,36.382700000103796,195.69769999725395,9270.6
1784158874,20,,Aggregated,0.000000,0.000000,36,47,79,80,84,200,200,200,200,200,200,20,0,25,49.97749499925703,23.064199998771073,195.69769999725395,7974.8
1784158875,20,,Aggregated,10.000000,0.000000,24,37,47,79,82,84,200,200,200,200,200,25,0,24,41.282983999699354,5.400600002758438,195.69769999725395,9011.44
1784158876,20,,Aggregated,10.000000,0.000000,23,24,36,40,80,84,200,200,200,200,200,37,0,23,29.56258108089379,2.841400000761496,195.69769999725395,9305.621621621622
1784158877,20,,Aggregated,7.666667,0.000000,10,24,25,37,79,82,200,200,200,200,200,42,0,7,26.425221428369348,2.7817000009235926,195.69769999725395,9147.190476190477
1784158878,20,,Aggregated,8.750000,0.000000,7,23,24,36,79,82,200,200,200,200,200,49,0,7,23.46661020382438,2.7817000009235926,195.69769999725395,9191.265306122448
1784158879,20,,Aggregated,8.750000,0.000000,6,23,24,25,79,82,84,200,200,200,200,58,0,6,20.44913620657412,2.5834000007307623,195.69769999725395,8913.137931034482
1784158880,20,,Aggregated,8.000000,0.000000,6,10,24,24,47,80,84,200,200,200,200,64,0,5,18.95570156221993,2.358300000196323,195.69769999725395,9108.625
1784158881,20,,Aggregated,8.285714,0.000000,5,7,23,24,47,80,84,200,200,200,200,70,0,5,17.648459999691113,2.358300000196323,195.69769999725395,9455.714285714286
1784158882,20,,Aggregated,8.000000,0.000000,5,7,16,23,37,79,84,200,200,200,200,81,0,5,15.873254320737303,2.358300000196323,195.69769999725395,9158.617283950618
