Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/feed,53,0,15,23.19049433962185,9.26490000006197,199.89190000001145,2260.0,0.4460924430351166,0.0,15,17,19,21,35,55,150,200,200,200,200
GET,GET /api/v1/leaderboard,71,0,6,12.451701408454156,2.7557000000797416,172.50800000010713,82.25352112676056,0.5975955368960996,0.0,6,7,9,11,23,60,79,170,170,170,170
GET,GET /api/v1/markets,121,0,6,11.271197520650539,2.9189000001679233,90.02250000003187,13158.0,1.018437464287719,0.0,6,8,10,13,22,46,73,81,90,90,90
GET,GET /api/v1/markets/{slug},46,0,8,63.67619782610706,5.146399999830464,2004.413900000145,538.0,0.38717457320028986,0.0,9,10,14,19,87,120,2000,2000,2000,2000,2000
GET,GET /api/v1/markets/{slug}/candles,84,0,13,16.05404047619242,8.248200000025463,78.85059999989608,6383.0,0.7070144380179206,0.0,13,15,17,19,24,34,62,79,79,79,79
GET,GET /api/v1/markets/{slug}/detail,84,0,12,20.20980952381381,7.857600000079401,334.1404000000239,518.0,0.7070144380179206,0.0,12,15,18,20,26,53,81,330,330,330,330
GET,GET /api/v1/markets?sort=active,91,0,7,11.303024175828925,2.2228000000268366,125.17329999991489,9545.0,0.7659323078527474,0.0,7,10,12,13,18,37,47,130,130,130,130
GET,GET /api/v1/portfolio (authed),66,0,9,35.72262121211321,6.065699999908247,1383.662799999911,251.0,0.5555113441569376,0.0,9,10,11,14,26,53,180,1400,1400,1400,1400
GET,GET /api/v1/portfolio/summary (authed),21,0,9,13.19819523807079,6.074699999999211,62.67319999983556,107.0,0.17675360950448016,0.0,9,11,13,14,22,24,63,63,63,63,63
GET,GET /api/v1/signals,55,0,8,15.30591272727923,5.442899999934525,78.8387000000057,1942.0,0.4629261201307814,0.0,8,9,11,12,52,76,77,79,79,79,79
GET,GET /api/v1/signals/feed,70,0,8,47.50336571428631,5.306999999902473,2055.99919999986,1942.0,0.5891786983482672,0.0,8,9,12,17,37,51,340,2100,2100,2100,2100
POST,POST /api/v1/auth/signup (setup),15,0,3100,3385.7644999999748,1451.8214999998236,5255.900999999994,206.0,0.12625257821748584,0.0,3100,4000,4200,4300,4800,5300,5300,5300,5300,5300,5300
,Aggregated,777,0,9,87.6051595881593,2.2228000000268366,5255.900999999994,4447.127413127413,6.539883551665766,0.0,9,12,15,17,34,76,1900,3100,5300,5300,5300
