Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/portfolio (trade cycle),27,0,12,13.613537037010111,8.201200000257813,25.75750000005428,494.18518518518516,0.3088699707159644,0.0,12,14,15,16,23,23,26,26,26,26,26
POST,POST /api/v1/auth/signup (setup),5,0,500,467.4272800001745,240.17790000016248,568.5049000003346,206.0,0.05719814272517859,0.0,500,530,530,570,570,570,570,570,570,570,570
POST,POST /api/v1/orders (buy),68,0,27,51.05999117645698,15.789799999765819,651.437999999871,174.0,0.7778947410624288,0.0,27,32,36,41,94,160,320,650,650,650,650
POST,POST /api/v1/positions/close,40,0,32,63.43016999999236,19.11610000024666,773.3280999996168,228.4,0.45758514180142873,0.0,32,40,56,66,94,170,770,770,770,770,770
,Aggregated,140,0,27,62.24277214284939,8.201200000257813,773.3280999996168,252.43571428571428,1.6015479963050006,0.0,27,32,37,47,120,320,570,650,770,770,770
